kood,korpus,tekstikeel,tekstityyp,elukoht,taust,vanus,sugu,emakeel,kodukeel,keeletase,haridus,abivahendid
doc_12501346824_item,cFOoRQekA,eesti,muu,tallinn,ylop,kuni18,naine,vene,vene,B,kesk,ei
doc_125394962863_item,cFOoRQekA,eesti,vastkys,tallinn,ylop,kuni26,naine,vene,vene,C,kesk,ei
doc_125394962864_item,cFOoRQekA,eesti,vastkys,tallinn,ylop,kuni26,naine,vene,vene,C,kesk,ei
doc_125394962865_item,cFOoRQekA,eesti,vastkys,tallinn,ylop,kuni26,naine,vene,vene,B,kesk,ei
doc_127940413007_item,clWmOIrLa,eesti,NA,NA,NA,NA,NA,NA,NA,C1,NA,NA
doc_128876189872_item,cFOoRQekA,eesti,essee,muu,ylop,kuni26,naine,soome,soome,A,kesk,ei
doc_130786734615_item,cYDRkpymb,eesti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doc_13389385120_item,cFOoRQekA,eesti,referaat,tallinn,ylop,kuni26,naine,vene,vene,C,kesk,jah
doc_134822946562_item,cFOoRQekA,eesti,vastkys,idaviru,op,kuni18,mees,vene,vene,B,pohi,ei
doc_142308885626_item,cFOoRQekA,eesti,vastkys,tallinn,ylop,kuni26,naine,vene,vene,C,kesk,ei
doc_142308885627_item,cFOoRQekA,eesti,vastkys,tallinn,ylop,kuni26,naine,vene,vene,C,kesk,ei
doc_151461948919_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_151461948920_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_151461948921_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_151461948922_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,mees,NA,NA,NA,NA,NA
doc_151461948923_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_151461948924_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_151461948925_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,mees,NA,NA,NA,NA,NA
doc_151461948926_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_151461948927_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_151461948928_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_151461948929_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_151461948930_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_151461948931_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_151461948932_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_151461948933_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_151461948934_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_151461948935_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_151461948936_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_151461948937_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_151461948938_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_151461948939_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_151461948940_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_151461948941_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,mees,NA,NA,NA,NA,NA
doc_151461948942_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_151461948943_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_151461948944_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_151461948945_item,cFOoRQekA,eesti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doc_15203423346_item,cFOoRQekA,eesti,muu,idaviru,op,kuni18,naine,vene,vene,C,pohi,ei
doc_15203423347_item,cFOoRQekA,eesti,muu,idaviru,op,kuni18,naine,vene,vene,C,pohi,ei
doc_15203423348_item,cFOoRQekA,eesti,muu,idaviru,op,kuni18,naine,vene,vene,B,pohi,ei
doc_15203423349_item,cFOoRQekA,eesti,amtkiri,idaviru,op,kuni18,naine,vene,vene,B,pohi,ei
doc_15203423350_item,cFOoRQekA,eesti,vastkys,idaviru,op,kuni18,naine,vene,vene,B,pohi,ei
doc_15203423351_item,cFOoRQekA,eesti,essee,idaviru,op,kuni18,naine,vene,vene,B,pohi,ei
doc_15203423352_item,cFOoRQekA,eesti,muu,idaviru,op,kuni18,naine,vene,vene,B,pohi,ei
doc_153483594920_item,cFOoRQekA,eesti,vastkys,tallinn,ylop,kuni26,naine,vene,vene,B,kesk,ei
doc_153483594921_item,cFOoRQekA,eesti,muu,tallinn,ylop,kuni26,naine,vene,vene,A,kesk,ei
doc_153483594922_item,cFOoRQekA,eesti,muu,tallinn,ylop,kuni26,naine,vene,vene,B,kesk,ei
doc_153483594923_item,cFOoRQekA,eesti,amtkiri,tallinn,ylop,kuni26,naine,vene,vene,A,kesk,ei
doc_153483594924_item,cFOoRQekA,eesti,essee,tallinn,ylop,kuni26,naine,vene,vene,A,kesk,ei
doc_153483594925_item,cFOoRQekA,eesti,essee,tallinn,ylop,kuni26,naine,vene,vene,A,kesk,ei
doc_153483594926_item,cFOoRQekA,eesti,vastkys,tallinn,ylop,kuni26,naine,vene,vene,B,kesk,ei
doc_153483594927_item,cFOoRQekA,eesti,essee,tallinn,teenist,41plus,naine,vene,vene,A,korg,ei
doc_154182424413_item,cFOoRQekA,eesti,vastkys,tallinn,ylop,kuni18,naine,vene,vene,C,kesk,ei
doc_154182424414_item,cFOoRQekA,eesti,vastkys,tallinn,ylop,kuni18,naine,vene,vene,C,kesk,ei
doc_154182424415_item,cFOoRQekA,eesti,vastkys,tallinn,ylop,kuni18,naine,vene,vene,C,kesk,ei
doc_154182424416_item,cFOoRQekA,eesti,vastkys,tallinn,ylop,kuni18,naine,vene,vene,C,kesk,ei
doc_154182424417_item,cFOoRQekA,eesti,vastkys,tallinn,ylop,kuni18,naine,vene,vene,C,kesk,ei
doc_158183956827_item,cFOoRQekA,eesti,vastkys,tallinn,ylop,kuni26,naine,vene,vene,B,kesk,ei
doc_158183956828_item,cFOoRQekA,eesti,vastkys,tallinn,ylop,kuni26,naine,vene,vene,C,kesk,ei
doc_158183956829_item,cFOoRQekA,eesti,vastkys,tallinn,ylop,kuni26,naine,vene,vene,C,kesk,ei
doc_167143726882_item,cFOoRQekA,eesti,vastkys,tallinn,ylop,kuni26,naine,vene,vene,C,kesk,ei
doc_170347281009_item,cFOoRQekA,eesti,muu,tallinn,ylop,kuni26,naine,vene,vene,A,kesk,ei
doc_170347281010_item,cFOoRQekA,eesti,muu,tallinn,ylop,kuni26,naine,vene,vene,B,kesk,ei
doc_170347281011_item,cFOoRQekA,eesti,muu,tallinn,ylop,kuni26,naine,vene,vene,A,kesk,ei
doc_170347281012_item,cFOoRQekA,eesti,muu,tallinn,ylop,kuni26,naine,vene,vene,B,kesk,ei
doc_170347281013_item,cFOoRQekA,eesti,muu,tallinn,ylop,kuni26,naine,vene,vene,B,kesk,ei
doc_171359441150_item,cFOoRQekA,,,,,,,,,,,
doc_171929905767_item,cFOoRQekA,eesti,amtkiri,tallinn,teenist,kuni40,mees,vene,vene,B,kesk,ei
doc_171929905768_item,cFOoRQekA,eesti,muu,tallinn,ylop,kuni26,naine,vene,vene,B,kesk,ei
doc_171929905769_item,cFOoRQekA,eesti,muu,tallinn,ylop,kuni26,naine,vene,vene,B,kesk,ei
doc_173023919360_item,cFOoRQekA,eesti,isikiri,soome,ylop,kuni26,naine,soome,soome,A,kesk,ei
doc_173023919361_item,cFOoRQekA,eesti,isikiri,soome,ylop,kuni26,naine,soome,soome,A,kesk,ei
doc_173023919362_item,cFOoRQekA,eesti,isikiri,soome,ylop,kuni26,naine,soome,soome,A,kesk,ei
doc_173023919363_item,cFOoRQekA,eesti,isikiri,soome,ylop,kuni26,naine,soome,soome,A,kesk,ei
doc_173023919364_item,cFOoRQekA,eesti,isikiri,soome,ylop,kuni26,naine,soome,soome,A,kesk,ei
doc_173023919365_item,cFOoRQekA,eesti,isikiri,soome,NA,kuni26,naine,soome,soome,A,kesk,ei
doc_173023919366_item,cFOoRQekA,eesti,isikiri,soome,ylop,kuni26,naine,soome,soome,A,kesk,ei
doc_173023919367_item,cFOoRQekA,eesti,isikiri,soome,NA,kuni26,naine,soome,soome,A,kesk,ei
doc_173023919368_item,cFOoRQekA,eesti,isikiri,soome,ylop,kuni26,naine,soome,soome,A,kesk,ei
doc_173023919369_item,cFOoRQekA,eesti,isikiri,soome,NA,kuni26,naine,soome,soome,A,kesk,ei
doc_173023919370_item,cFOoRQekA,eesti,isikiri,soome,NA,kuni26,mees,soome,soome,A,kesk,ei
doc_173023919371_item,cFOoRQekA,eesti,essee,saksamaa,ylop,kuni26,naine,vene,NA,NA,kesk,NA
doc_173023919372_item,cFOoRQekA,eesti,harjutus,saksamaa,ylop,kuni26,naine,saksa,saksa,NA,kesk,ei
doc_173023919373_item,cFOoRQekA,eesti,harjutus,saksamaa,ylop,kuni26,naine,saksa,saksa,NA,kesk,ei
doc_173023919374_item,cFOoRQekA,eesti,essee,saksamaa,ylop,kuni26,naine,saksa,saksa,NA,kesk,ei
doc_173023919375_item,cFOoRQekA,eesti,essee,soome,ylop,kuni26,naine,soome,NA,B2,kesk,jah
doc_173023919376_item,cFOoRQekA,eesti,essee,soome,ylop,kuni26,naine,soome,NA,B2,kesk,jah
doc_173023919377_item,cFOoRQekA,eesti,essee,soome,ylop,kuni26,naine,soome,NA,B1,kesk,jah
doc_173023919378_item,cFOoRQekA,eesti,essee,soome,ylop,kuni26,naine,soome,NA,B1,kesk,jah
doc_173023919379_item,cFOoRQekA,eesti,essee,soome,ylop,kuni26,naine,soome,NA,B1,kesk,jah
doc_173023919380_item,cFOoRQekA,eesti,essee,soome,ylop,kuni26,naine,soome,NA,B1,kesk,jah
doc_173023919381_item,cFOoRQekA,eesti,essee,soome,ylop,kuni26,naine,soome,NA,A2,kesk,jah
doc_173023919382_item,cFOoRQekA,eesti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doc_173023919383_item,cFOoRQekA,eesti,essee,soome,ylop,kuni26,naine,soome,NA,A2,kesk,jah
doc_173023919384_item,cFOoRQekA,eesti,essee,soome,ylop,kuni26,naine,soome,NA,A2,kesk,jah
doc_173023919385_item,cFOoRQekA,eesti,essee,soome,ylop,kuni26,naine,soome,NA,B1,kesk,jah
doc_173023919386_item,cFOoRQekA,eesti,essee,soome,ylop,kuni26,naine,soome,NA,A2,kesk,jah
doc_173023919387_item,cFOoRQekA,eesti,essee,soome,ylop,kuni26,naine,soome,NA,A2,kesk,jah
doc_173023919388_item,cFOoRQekA,eesti,essee,soome,ylop,kuni26,naine,soome,NA,A2,kesk,jah
doc_173023919389_item,cFOoRQekA,eesti,essee,soome,ylop,kuni26,naine,soome,NA,A2,kesk,jah
doc_173023919390_item,cFOoRQekA,eesti,essee,soome,ylop,kuni26,naine,soome,NA,B2,kesk,jah
doc_173023919391_item,cFOoRQekA,eesti,essee,soome,ylop,kuni26,naine,soome,NA,B1,kesk,jah
doc_173023919392_item,cFOoRQekA,eesti,essee,soome,ylop,kuni26,NA,NA,NA,A2,kesk,jah
doc_173023919393_item,cFOoRQekA,eesti,essee,soome,ylop,kuni26,naine,soome,NA,B1,kesk,jah
doc_173023919394_item,cFOoRQekA,eesti,essee,soome,ylop,kuni26,naine,soome,NA,B1,kesk,jah
doc_173023919395_item,cFOoRQekA,eesti,essee,soome,ylop,kuni26,naine,soome,NA,A2,kesk,jah
doc_173023919396_item,cFOoRQekA,eesti,essee,soome,ylop,kuni26,naine,soome,NA,A2,kesk,jah
doc_173023919397_item,cFOoRQekA,eesti,essee,NA,teenist,kuni40,naine,eesti,eesti,C1,korg,ei
doc_176157647596_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_176157647597_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_176157647598_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_176157647599_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_176157647600_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_176157647601_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,mees,NA,NA,NA,NA,NA
doc_176157647602_item,clWmOIrLa,eesti,NA,idaviru,NA,NA,naine,NA,NA,NA,NA,NA
doc_176157647603_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_176157647604_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,mees,NA,NA,NA,NA,NA
doc_176157647605_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_176157647606_item,clWmOIrLa,eesti,NA,tallinn,NA,NA,naine,NA,NA,NA,NA,NA
doc_176157647607_item,clWmOIrLa,eesti,NA,muu,NA,NA,naine,NA,NA,NA,NA,NA
doc_176157647608_item,clWmOIrLa,eesti,NA,muu,NA,NA,naine,NA,NA,NA,NA,NA
doc_176157647609_item,clWmOIrLa,eesti,NA,muu,NA,NA,naine,NA,NA,NA,NA,NA
doc_176157647610_item,clWmOIrLa,eesti,NA,muu,NA,NA,naine,NA,NA,NA,NA,NA
doc_176157647611_item,clWmOIrLa,eesti,NA,muu,NA,NA,naine,NA,NA,NA,NA,NA
doc_176157647612_item,clWmOIrLa,eesti,NA,muu,NA,NA,naine,NA,NA,NA,NA,NA
